entity_id,custom_term,category,place,date_or_period,doc_id,page_number,context_snippet,confidence
custom_bab6dd73619b4e,岁时,seasonal_custom,江宁;金陵;建康,1874,swhgz_4ce3b5c5c31c,18,年（1874）。《续纪》于咸同以来之太平天国事所记尤详，所载不专建康，体例也较谨严。 （倪 波 郑建明） 金陵岁时记 潘宗鼎撰·—民国18年（1929）铅印本。 宗鼎，字薑灵，江宁人。潘氏世居金陵，仿《帝京景物略》、《荆楚岁,high
custom_0295eda0b7304e,岁时,seasonal_custom,江宁;金陵,民国18年,swhgz_4ce3b5c5c31c,18,时记 潘宗鼎撰·—民国18年（1929）铅印本。 宗鼎，字薑灵，江宁人。潘氏世居金陵，仿《帝京景物略》、《荆楚岁时记》，摭拾旧闻、网罗轶事而成是编。内容有：春联、门神、黄钱、纸马、冥钱、神疏、爆竹、贺柬，恭喜包、双喜团、茶泡,high
custom_b553b33b6583f3,习俗,general_custom,,民国19年,swhgz_4ce3b5c5c31c,18,者。刘绍帧主稿，唐圭璋等通之，经6月而成志。分10部分，依次为沿革、形势、疆域、户口、气候、交通、经济、教育、习俗、胜迹。较前数志，详实精益。 （倪 波 郑建明） 首都乡土研究 李清悚、蒋子奇主编·—民国19年（1930）南,high
custom_b57e9c0ce28b02,风土,local_conditions,金陵,,swhgz_4ce3b5c5c31c,18,官书局、官报局，图书馆任职。正志5种包括：《运渎桥道小志》1卷，《凤麓小志》4卷，《东城志略》1卷、《金陵物产风土志》1卷、《南朝梵刹志》2卷。其中《东城志略》含志山、志水、志街道3门；《金陵物产风土志》含本境植物品考、动物,high
custom_eba99aca2c97f0,民俗,folk_custom,金陵,,swhgz_4ce3b5c5c31c,26,》：“《金陵记》曰：‘姑熟之南、淮曲之阳置南豫州，六代英雄迭居于此，以斯地为上游焉’。”《 金陵新志》卷8《民俗志·风俗》也曾引用此书。由现存佚文推测，此书详于事物变化，内容至少包括建置沿革、人文、风俗等方面。 （张乃格）,high
custom_1d6f5f099b2c7e,民俗,folk_custom,金陵,,swhgz_4ce3b5c5c31c,26,卷1、4、5、7、8、11～13等曾多处引用该志。内容涉及建置沿革、城池、山川、交通、津梁、祠庙、古迹、赋役、民俗、人物、碑碣、艺文，并收有图和图考。从佚文看，此书资料繁富，记述具体。如仅《 金陵新志》卷11《祠祀志·寺院,high
custom_2980d7ebd9f1d8,岁时,seasonal_custom,,,swhgz_4ce3b5c5c31c,27,物志》：“盛仲交贡士家有陈中丞《人物志》抄本，余从其子敏耕伯年文学得之。仲交手题其首简云：‘陈中丞为此书，历有岁时脱稿，没后归罗太守。余妻姑丈司马宪副屡借之不得，最后于陈中丞子求得草本录之。余又借司马家本录二册，寄玉泉师于豫,high
custom_ad858c5d0b1e3e,习俗,general_custom,,,swhgz_4ce3b5c5c31c,33,一半。资料去取亦颇得法，凡前志已详者略之。其《风俗》门：“淳朴勤俭，旧志详之。迩年以来，惟务耕织，不事末作，虽习俗稍漓而淳风未泯”，止30字，而且所记重点，在于“新”字。 （张乃格） 江浦县志 八卷／（清）项维正等纂修·—,high
custom_ba27693f0c5e9f,习俗,general_custom,金陵,,swhgz_4ce3b5c5c31c,38,在《咸淳志》之前，和《咸淳志》别为一书。《景定志》所存佚文虽只短短60来字，但却从中可以窥见当年溧水人民的生产习俗、生活习俗、信仰习俗以及爱乡重文的风气，可知此志语言颇为简明。 （张修银） 金陵新志》卷前《新旧志引用古今书,high
custom_b7ae20213b3f9f,习俗,general_custom,金陵,,swhgz_4ce3b5c5c31c,38,》之前，和《咸淳志》别为一书。《景定志》所存佚文虽只短短60来字，但却从中可以窥见当年溧水人民的生产习俗、生活习俗、信仰习俗以及爱乡重文的风气，可知此志语言颇为简明。 （张修银） 金陵新志》卷前《新旧志引用古今书目》：“《,high
custom_0bcb877cb2393d,习俗,general_custom,金陵,,swhgz_4ce3b5c5c31c,38,《咸淳志》别为一书。《景定志》所存佚文虽只短短60来字，但却从中可以窥见当年溧水人民的生产习俗、生活习俗、信仰习俗以及爱乡重文的风气，可知此志语言颇为简明。 （张修银） 金陵新志》卷前《新旧志引用古今书目》：“《咸淳溧水志,high
custom_6d4b6f3b6396c2,民俗,folk_custom,金陵,,swhgz_4ce3b5c5c31c,39,金陵新志》卷8《民俗志》、卷9《学校志》、卷13《列传》凡3引《溧水州志》。其《学校志·州县学校》所引云：“溧水州，归附初为县，设,high
custom_5beeba64563346,民俗,folk_custom,,,swhgz_4ce3b5c5c31c,39,年多之内两度修志，有悖于官修志书的常规，故推断《溧水州志》纂于元顺帝至元年间。《至正志》今存此志佚文，内容涉及民俗、学校、节妇、碑刻等方面，记述不厌其详，资料具体充实。如《学校志》所引，不但追溯州学及学官的沿革，而且述及州学,high
custom_a4cd497df3538f,岁时,seasonal_custom,,,swhgz_4ce3b5c5c31c,52,、星分、城池、公署、坊乡、街巷、市镇、坊表、桥梁；卷2提封记：山川（附闸堰坝井）、古迹、灾祥，风俗记：四民风、岁时、方言、农占；卷3～5食货记：户口、田壤、税务、赋役、徭里、物产；卷6秩祀记：坛壝、祠庙、冢墓，河防记，禄秩记,high
custom_7084f96b5541a0,祭祀,ritual,,,swhgz_4ce3b5c5c31c,68,3民事志：户口，田赋、驿递、乡社、物产、风俗、荒政、赈济，卷4学校志；学宫，讲约，社学、选举、征辟，乡饮：卷5祭祀志：上丁、坛壝、祠祀，宫观，陵墓，古迹，卷6职官志： 职官、公署、宦绩，卷7人物志：名贤、恩义、孝子、武功、流,high
custom_4fd93998d8ea52,婚丧,life_cycle,,民国,swhgz_4ce3b5c5c31c,71,编辑的《中国实业志》和内政部出版的《内政年鉴》。从全书内容看，经济史料居大半，唯“风俗”1门，专记民国以来新式婚丧仪礼，诚为可贵，可惜残缺。全志线装4册，“文化大革命”中被“红卫兵”抄出，焚烧之际被原睢宁县图书馆馆长李明春抢,high
custom_edc29b3e7d6929,婚丧,life_cycle,,,swhgz_4ce3b5c5c31c,86,桑为务”，“以商贾为生”、“以舟楫为艺”、“其土贵”，“其民勤”，“其俗厚”、“其屋字固”、“其冠服朴”，“其婚丧俭而少文”，较为切合当地特点。《杂记》记乡村、渡口、桥梁、湾港、洲矶等名，亦与他志不同。 （叶瑞宝） 具区志,high
custom_afb50e2d159fc2,祭祀,ritual,,,swhgz_4ce3b5c5c31c,95,鬼、人物、技术、缠结、乐部、珍异、火器、祭器、散妆）。前有无题序、末附《顾文学云龙书》1篇。《五方贤圣》为庙会祭祀主神，《会境》为庙会场地，《舍会》中的《人物》为庙会祭祀的古代名人，所附顾文龙书实际是对于本编的书评。此编虽为,high
custom_ed89f85fa76aef,祭祀,ritual,,明代,swhgz_4ce3b5c5c31c,95,有无题序、末附《顾文学云龙书》1篇。《五方贤圣》为庙会祭祀主神，《会境》为庙会场地，《舍会》中的《人物》为庙会祭祀的古代名人，所附顾文龙书实际是对于本编的书评。此编虽为刺时之作，但客观上保留了不少明代万历年间的资料。如《舍会,high
custom_7634d248b2e825,庙会,temple_fair,,,swhgz_4ce3b5c5c31c,95,史局罢。著有《吴郡丹青志》，《弈史》等。吴地自古好神祗，喜淫奢，败坏民风，荒废民业，稚登有感于此，特作是编专记庙会之事，目的是针砭时弊。全编仅1卷，无目录，文中有标题，标题顺次为：会、五方贤圣、会境、会首、助会、接会、看会、,high
custom_f837c196e1060d,庙会,temple_fair,,,swhgz_4ce3b5c5c31c,95,、神鬼、人物、技术、缠结、乐部、珍异、火器、祭器、散妆）。前有无题序、末附《顾文学云龙书》1篇。《五方贤圣》为庙会祭祀主神，《会境》为庙会场地，《舍会》中的《人物》为庙会祭祀的古代名人，所附顾文龙书实际是对于本编的书评。此编,high
custom_04b08262144969,庙会,temple_fair,,,swhgz_4ce3b5c5c31c,95,、乐部、珍异、火器、祭器、散妆）。前有无题序、末附《顾文学云龙书》1篇。《五方贤圣》为庙会祭祀主神，《会境》为庙会场地，《舍会》中的《人物》为庙会祭祀的古代名人，所附顾文龙书实际是对于本编的书评。此编虽为刺时之作，但客观上保,high
custom_f2aa98c165c5f3,庙会,temple_fair,,明代,swhgz_4ce3b5c5c31c,95,。前有无题序、末附《顾文学云龙书》1篇。《五方贤圣》为庙会祭祀主神，《会境》为庙会场地，《舍会》中的《人物》为庙会祭祀的古代名人，所附顾文龙书实际是对于本编的书评。此编虽为刺时之作，但客观上保留了不少明代万历年间的资料。如《,high
custom_3be9838a4003cc,庙会,temple_fair,江苏,明代,swhgz_4ce3b5c5c31c,95,肖月氐，奚奴持绣球导舞。两人蹲跳按节，若出一体”，这对于研究明代晚期的戏剧、杂技等颇有裨益。尤为难能可贵的，以庙会习俗为内容的专志，此编为现在江苏旧志所仅见，故其资料价值更加弥足珍贵。与一般志书的夸饰地方不同，本编重在揭露社,high
custom_5f86c4b61c49dc,祭祀,ritual,苏州,康熙20年,swhgz_4ce3b5c5c31c,100,境图、苏州府全境水利图、长洲县水道图、虎丘山图、圆妙观图、长洲县土田界址图等12幅。该志上限不限，《坛祠》从从祭祀周朝的吴公祠写起，卷13、15、18、19均从唐代写起，大部内容以宋、明为断，下限至康熙20年前后，卷15科目,high
custom_ecde93648b4446,婚丧,life_cycle,,,swhgz_4ce3b5c5c31c,135,、药、鳞、介、羽、毛、虫、棉布、酝酿、品馔、灰、工作诸属，颇为翔实，可见当时农，牧，副业之概况。《风俗》所记之婚丧礼节、农谚、男女之同劳作，对于研究民俗学有一定价值。方言则探究语根，比起徒标直音为优。又有“唱摊黄”，即当代地,high
custom_3176c5d9342be6,婚丧,life_cycle,吴江县;吴江,清初,swhgz_4ce3b5c5c31c,138,中明末清初的抗清之士如吴易、王景亮，叶绍袁等人不见于以往府县志。此外，《水利》载有吴越时的有关事迹。《风俗》的婚丧、农具、耕作、渔业、收租、占候、吴歌、岁时等类，有些记载，亦不见于他志。 （周 天） 吴江县志续编 十卷／（,high
custom_a71df26ad1871d,婚丧,life_cycle,,,swhgz_4ce3b5c5c31c,149,、乡饮、书院、义学（社学附）；卷7礼仪志、庆贺、开读、新任、迎春、耕耘、宣讲、救护、祈祷、坛祭、庙祭、祠祭、冠婚丧祭；卷10秩官志下：统辖秩官、州文秩官、州武秩官、静海县秩官、海门县秩官、泰兴县文秩官、泰兴县武秩官、如皋县武,high
custom_06e98e6a511061,祭祀,ritual,,,swhgz_4ce3b5c5c31c,169,录、标题，文中所记的主要内容，依次为形胜、风俗、物产、纠俗措施。其中风俗首服饰习俗，次婚姻习俗，次丧葬习俗，次祭祀习俗，次生产习俗，次岁时习俗，土产首五谷，次蔓，次蔬，次果，次丝絮，次药物，次兽，次鳞。记述时间起自五代，止于,high
custom_7e0403b1f12a83,节令,seasonal_custom,江苏,,swhgz_4ce3b5c5c31c,237,）；祭祀（谒祭宗祠、谒祭分祠、分祠时荐、家荐墓祭、神道、杂记）；宾客（族党相见、燕酬常仪、生子、生日、杂记）；节令（新年及元宵日、二月二日、上巳日、端午节、天贶节、中秋节、十月朔日、腊月、岁除、杂记）。《西石城风俗志》是江苏,high
custom_d2488a23d83db9,节令,seasonal_custom,江苏,,swhgz_4ce3b5c5c31c,296,）；祭祀（谒祭宗祠、谒祭分祠、分祠时荐、家荐墓祭、神道、杂记）；宾客（族党相见、燕酬常仪、生子、生日、杂记）；节令（新年及元宵日、二月二日、上巳日、端午节、天贶节、中秋节、十月朔日、腊月、岁除、杂记）。《西石城风俗志》是江苏,high
